file,date,fl_class,label
mdi.fd_M_96m_lev182.19960429_000000_TAI.npz,1996-04-29,,NF
mdi.fd_M_96m_lev182.19960501_000000_TAI.npz,1996-05-01,,NF
mdi.fd_M_96m_lev182.19960502_000000_TAI.npz,1996-05-02,,NF
mdi.fd_M_96m_lev182.19960503_000000_TAI.npz,1996-05-03,,NF
mdi.fd_M_96m_lev182.19960508_000000_TAI.npz,1996-05-08,,NF
mdi.fd_M_96m_lev182.19960509_000000_TAI.npz,1996-05-09,,NF
mdi.fd_M_96m_lev182.19960510_000000_TAI.npz,1996-05-10,,NF
mdi.fd_M_96m_lev182.19960512_000000_TAI.npz,1996-05-12,,NF
mdi.fd_M_96m_lev182.19960517_000000_TAI.npz,1996-05-17,,NF
mdi.fd_M_96m_lev182.19960519_000000_TAI.npz,1996-05-19,,NF
mdi.fd_M_96m_lev182.19960522_000000_TAI.npz,1996-05-22,,NF
mdi.fd_M_96m_lev182.19960524_000000_TAI.npz,1996-05-24,,NF
mdi.fd_M_96m_lev182.19960628_000000_TAI.npz,1996-06-28,,NF
mdi.fd_M_96m_lev182.19960629_000000_TAI.npz,1996-06-29,,NF
mdi.fd_M_96m_lev182.19960630_000000_TAI.npz,1996-06-30,,NF
mdi.fd_M_96m_lev182.19961001_000000_TAI.npz,1996-10-01,,NF
mdi.fd_M_96m_lev182.19961003_000000_TAI.npz,1996-10-03,,NF
mdi.fd_M_96m_lev182.19961005_000000_TAI.npz,1996-10-05,,NF
mdi.fd_M_96m_lev182.19961006_000000_TAI.npz,1996-10-06,,NF
mdi.fd_M_96m_lev182.19961007_000000_TAI.npz,1996-10-07,,NF
mdi.fd_M_96m_lev182.19961009_000000_TAI.npz,1996-10-09,,NF
mdi.fd_M_96m_lev182.19961010_000000_TAI.npz,1996-10-10,,NF
mdi.fd_M_96m_lev182.19961011_000000_TAI.npz,1996-10-11,,NF
mdi.fd_M_96m_lev182.19961012_000000_TAI.npz,1996-10-12,,NF
mdi.fd_M_96m_lev182.19961013_000000_TAI.npz,1996-10-13,,NF
mdi.fd_M_96m_lev182.19961014_000000_TAI.npz,1996-10-14,,NF
