file,date,fl_class,label
mdi.fd_M_96m_lev182.19960701_000000_TAI.npz,1996-07-01,,NF
mdi.fd_M_96m_lev182.19960702_000000_TAI.npz,1996-07-02,,NF
mdi.fd_M_96m_lev182.19960703_000000_TAI.npz,1996-07-03,,NF
mdi.fd_M_96m_lev182.19960704_000000_TAI.npz,1996-07-04,,NF
mdi.fd_M_96m_lev182.19960705_000000_TAI.npz,1996-07-05,,NF
mdi.fd_M_96m_lev182.19960707_000000_TAI.npz,1996-07-07,,NF
mdi.fd_M_96m_lev182.19960708_000000_TAI.npz,1996-07-08,,NF
mdi.fd_M_96m_lev182.19960709_000000_TAI.npz,1996-07-09,,NF
mdi.fd_M_96m_lev182.19960710_000000_TAI.npz,1996-07-10,,NF
mdi.fd_M_96m_lev182.19960711_000000_TAI.npz,1996-07-11,,NF
mdi.fd_M_96m_lev182.19960712_000000_TAI.npz,1996-07-12,,NF
mdi.fd_M_96m_lev182.19960713_000000_TAI.npz,1996-07-13,,NF
mdi.fd_M_96m_lev182.19960715_000000_TAI.npz,1996-07-15,,NF
mdi.fd_M_96m_lev182.19960716_000000_TAI.npz,1996-07-16,,NF
mdi.fd_M_96m_lev182.19960718_000000_TAI.npz,1996-07-18,,NF
mdi.fd_M_96m_lev182.19960720_000000_TAI.npz,1996-07-20,,NF
mdi.fd_M_96m_lev182.19960721_000000_TAI.npz,1996-07-21,,NF
mdi.fd_M_96m_lev182.19960723_000000_TAI.npz,1996-07-23,,NF
mdi.fd_M_96m_lev182.19960725_000000_TAI.npz,1996-07-25,,NF
mdi.fd_M_96m_lev182.19960727_000000_TAI.npz,1996-07-27,,NF
mdi.fd_M_96m_lev182.19960728_000000_TAI.npz,1996-07-28,,NF
mdi.fd_M_96m_lev182.19960729_000000_TAI.npz,1996-07-29,,NF
mdi.fd_M_96m_lev182.19960730_000000_TAI.npz,1996-07-30,,NF
mdi.fd_M_96m_lev182.19960731_000000_TAI.npz,1996-07-31,B3.9,NF
mdi.fd_M_96m_lev182.19960801_000000_TAI.npz,1996-08-01,B3.1,NF
mdi.fd_M_96m_lev182.19960802_000000_TAI.npz,1996-08-02,B2.8,NF
mdi.fd_M_96m_lev182.19960803_000000_TAI.npz,1996-08-03,B4.8,NF
mdi.fd_M_96m_lev182.19960804_000000_TAI.npz,1996-08-04,B5.4,NF
mdi.fd_M_96m_lev182.19960805_000000_TAI.npz,1996-08-05,B5.5,NF
mdi.fd_M_96m_lev182.19960806_000000_TAI.npz,1996-08-06,C1.5,C
mdi.fd_M_96m_lev182.19960807_000000_TAI.npz,1996-08-07,C1.0,C
mdi.fd_M_96m_lev182.19960808_000000_TAI.npz,1996-08-08,B2.7,NF
mdi.fd_M_96m_lev182.19960809_000000_TAI.npz,1996-08-09,,NF
mdi.fd_M_96m_lev182.19960810_000000_TAI.npz,1996-08-10,B1.7,NF
mdi.fd_M_96m_lev182.19960811_000000_TAI.npz,1996-08-11,,NF
mdi.fd_M_96m_lev182.19960812_000000_TAI.npz,1996-08-12,,NF
mdi.fd_M_96m_lev182.19960813_000000_TAI.npz,1996-08-13,,NF
mdi.fd_M_96m_lev182.19960814_000000_TAI.npz,1996-08-14,,NF
mdi.fd_M_96m_lev182.19960815_000000_TAI.npz,1996-08-15,B1.2,NF
mdi.fd_M_96m_lev182.19960816_000000_TAI.npz,1996-08-16,,NF
mdi.fd_M_96m_lev182.19960817_000000_TAI.npz,1996-08-17,,NF
mdi.fd_M_96m_lev182.19960818_000000_TAI.npz,1996-08-18,,NF
mdi.fd_M_96m_lev182.19960819_000000_TAI.npz,1996-08-19,,NF
mdi.fd_M_96m_lev182.19960820_000000_TAI.npz,1996-08-20,,NF
mdi.fd_M_96m_lev182.19960821_000000_TAI.npz,1996-08-21,B1.4,NF
mdi.fd_M_96m_lev182.19960822_000000_TAI.npz,1996-08-22,C4.5,C
mdi.fd_M_96m_lev182.19960823_000000_TAI.npz,1996-08-23,C1.2,C
mdi.fd_M_96m_lev182.19960824_000000_TAI.npz,1996-08-24,B2.9,NF
mdi.fd_M_96m_lev182.19960825_000000_TAI.npz,1996-08-25,C1.0,C
mdi.fd_M_96m_lev182.19960826_000000_TAI.npz,1996-08-26,B5.5,NF
mdi.fd_M_96m_lev182.19960827_000000_TAI.npz,1996-08-27,,NF
mdi.fd_M_96m_lev182.19960828_000000_TAI.npz,1996-08-28,C1.3,C
mdi.fd_M_96m_lev182.19960830_000000_TAI.npz,1996-08-30,B1.0,NF
mdi.fd_M_96m_lev182.19960831_000000_TAI.npz,1996-08-31,B5.1,NF
mdi.fd_M_96m_lev182.19960901_000000_TAI.npz,1996-09-01,,NF
mdi.fd_M_96m_lev182.19960906_000000_TAI.npz,1996-09-06,,NF
mdi.fd_M_96m_lev182.19960907_000000_TAI.npz,1996-09-07,,NF
mdi.fd_M_96m_lev182.19960909_000000_TAI.npz,1996-09-09,,NF
mdi.fd_M_96m_lev182.19960911_000000_TAI.npz,1996-09-11,,NF
mdi.fd_M_96m_lev182.19960913_000000_TAI.npz,1996-09-13,,NF
mdi.fd_M_96m_lev182.19960914_000000_TAI.npz,1996-09-14,,NF
mdi.fd_M_96m_lev182.19960915_000000_TAI.npz,1996-09-15,,NF
mdi.fd_M_96m_lev182.19960917_000000_TAI.npz,1996-09-17,,NF
mdi.fd_M_96m_lev182.19960918_000000_TAI.npz,1996-09-18,,NF
mdi.fd_M_96m_lev182.19960919_000000_TAI.npz,1996-09-19,,NF
mdi.fd_M_96m_lev182.19960920_000000_TAI.npz,1996-09-20,,NF
mdi.fd_M_96m_lev182.19960921_000000_TAI.npz,1996-09-21,,NF
mdi.fd_M_96m_lev182.19960922_000000_TAI.npz,1996-09-22,,NF
mdi.fd_M_96m_lev182.19960923_000000_TAI.npz,1996-09-23,,NF
mdi.fd_M_96m_lev182.19960924_000000_TAI.npz,1996-09-24,,NF
mdi.fd_M_96m_lev182.19960925_000000_TAI.npz,1996-09-25,,NF
mdi.fd_M_96m_lev182.19960926_000000_TAI.npz,1996-09-26,,NF
mdi.fd_M_96m_lev182.19960927_000000_TAI.npz,1996-09-27,,NF
mdi.fd_M_96m_lev182.19960928_000000_TAI.npz,1996-09-28,B1.6,NF
mdi.fd_M_96m_lev182.19960929_000000_TAI.npz,1996-09-29,,NF
mdi.fd_M_96m_lev182.19960930_000000_TAI.npz,1996-09-30,,NF
mdi.fd_M_96m_lev182.19961001_000000_TAI.npz,1996-10-01,,NF
mdi.fd_M_96m_lev182.19961003_000000_TAI.npz,1996-10-03,,NF
mdi.fd_M_96m_lev182.19961005_000000_TAI.npz,1996-10-05,,NF
mdi.fd_M_96m_lev182.19961006_000000_TAI.npz,1996-10-06,,NF
mdi.fd_M_96m_lev182.19961007_000000_TAI.npz,1996-10-07,,NF
mdi.fd_M_96m_lev182.19961009_000000_TAI.npz,1996-10-09,,NF
mdi.fd_M_96m_lev182.19961010_000000_TAI.npz,1996-10-10,,NF
mdi.fd_M_96m_lev182.19961011_000000_TAI.npz,1996-10-11,,NF
mdi.fd_M_96m_lev182.19961012_000000_TAI.npz,1996-10-12,,NF
mdi.fd_M_96m_lev182.19961013_000000_TAI.npz,1996-10-13,,NF
mdi.fd_M_96m_lev182.19961014_000000_TAI.npz,1996-10-14,,NF
mdi.fd_M_96m_lev182.19961015_000000_TAI.npz,1996-10-15,,NF
mdi.fd_M_96m_lev182.19961016_000000_TAI.npz,1996-10-16,,NF
mdi.fd_M_96m_lev182.19961017_000000_TAI.npz,1996-10-17,,NF
mdi.fd_M_96m_lev182.19961018_000000_TAI.npz,1996-10-18,,NF
mdi.fd_M_96m_lev182.19961019_000000_TAI.npz,1996-10-19,B0.6,NF
mdi.fd_M_96m_lev182.19961020_000000_TAI.npz,1996-10-20,B1.0,NF
mdi.fd_M_96m_lev182.19961021_000000_TAI.npz,1996-10-21,,NF
mdi.fd_M_96m_lev182.19961022_000000_TAI.npz,1996-10-22,,NF
mdi.fd_M_96m_lev182.19961024_000000_TAI.npz,1996-10-24,,NF
mdi.fd_M_96m_lev182.19961026_000000_TAI.npz,1996-10-26,,NF
mdi.fd_M_96m_lev182.19961027_000000_TAI.npz,1996-10-27,,NF
mdi.fd_M_96m_lev182.19961028_000000_TAI.npz,1996-10-28,,NF
mdi.fd_M_96m_lev182.19961029_000000_TAI.npz,1996-10-29,,NF
mdi.fd_M_96m_lev182.19961030_000000_TAI.npz,1996-10-30,,NF
mdi.fd_M_96m_lev182.19961031_000000_TAI.npz,1996-10-31,,NF
mdi.fd_M_96m_lev182.19961101_000000_TAI.npz,1996-11-01,,NF
mdi.fd_M_96m_lev182.19961102_000000_TAI.npz,1996-11-02,,NF
mdi.fd_M_96m_lev182.19961103_000000_TAI.npz,1996-11-03,,NF
mdi.fd_M_96m_lev182.19961104_000000_TAI.npz,1996-11-04,,NF
mdi.fd_M_96m_lev182.19961105_000000_TAI.npz,1996-11-05,,NF
mdi.fd_M_96m_lev182.19961106_000000_TAI.npz,1996-11-06,,NF
mdi.fd_M_96m_lev182.19961107_000000_TAI.npz,1996-11-07,,NF
mdi.fd_M_96m_lev182.19961108_000000_TAI.npz,1996-11-08,,NF
mdi.fd_M_96m_lev182.19961109_000000_TAI.npz,1996-11-09,B8.9,NF
mdi.fd_M_96m_lev182.19961110_000000_TAI.npz,1996-11-10,,NF
mdi.fd_M_96m_lev182.19961111_000000_TAI.npz,1996-11-11,B3.3,NF
mdi.fd_M_96m_lev182.19961112_000000_TAI.npz,1996-11-12,,NF
mdi.fd_M_96m_lev182.19961113_000000_TAI.npz,1996-11-13,B1.8,NF
mdi.fd_M_96m_lev182.19961114_000000_TAI.npz,1996-11-14,,NF
mdi.fd_M_96m_lev182.19961115_000000_TAI.npz,1996-11-15,,NF
mdi.fd_M_96m_lev182.19961118_000000_TAI.npz,1996-11-18,,NF
mdi.fd_M_96m_lev182.19961119_000000_TAI.npz,1996-11-19,,NF
mdi.fd_M_96m_lev182.19961120_000000_TAI.npz,1996-11-20,,NF
mdi.fd_M_96m_lev182.19961121_000000_TAI.npz,1996-11-21,B1.7,NF
